-3,-3,-2,-1,-1;1.0056217902958091,-0.8863799848233264,1.0
-3,-3,-2,0,-1;1.247393999870934,-0.9609584722621696,1.0
-3,-3,-2,0,0;1.3757986170560332,-0.8708819317402311,1.0
-3,-3,-1,-1,-2;0.2658220824904479,-1.3801660006651866,1.0
-3,-3,-1,-1,-1;0.5890677282722736,-0.9975314782081144,1.0
-3,-3,-1,0,-2;0.4244708049946592,-1.6651161746527496,1.0
-3,-3,-1,0,-1;0.8930616519909623,-1.448571287104501,1.0
-3,-3,0,-1,-2;0.12210412610196386,-1.6153919361981128,1.0
-3,-3,0,0,-2;0.18696812222190384,-1.7328007964310148,1.0
-3,-2,-1,-2,-3;-0.7258452525378017,-0.9619219423795681,1.0
-3,-2,-1,-2,-2;-0.6617922732275245,-0.9161096066894144,1.0
-3,-2,-1,-1,-2;-0.0888256374229941,-1.0373516745121905,1.0
-3,-2,-1,-1,-1;0.3243363928177661,-0.8708819317402311,1.0
-3,-2,0,-2,-3;-0.7289816801214226,-0.9944647859636365,1.0
-3,-2,0,-2,-2;-0.7072154421840011,-0.9897423274557996,1.0
-3,-2,0,-1,-3;-0.7299421142834472,-1.4261847779841337,1.0
-3,-2,0,-1,-2;-0.29749223294098964,-1.482814279671115,1.0
-3,-2,0,0,-2;-0.007864323289199232,-1.77381611884847,1.0
-3,-1,-1,-2,-3;-0.7842478412405243,-0.894250885845576,1.0
-3,-1,-1,-2,-2;-0.727125831420501,-0.8708819317402311,1.0
-3,-1,0,-2,-3;-1.291159342726717,-1.1167098589803948,1.0
-3,-1,0,-1,-3;-1.139210944277713,-1.5782922992435409,1.0
-3,-1,1,-2,-3;-1.5578662505360412,-1.6077763162056946,1.0
-3,-1,1,-1,-3;-1.4584664437107608,-1.7241331690276969,1.0
-3,0,0,-2,-3;-1.7785880556587683,-0.8708819317402309,1.0
-2,-3,-3,-1,0;1.4892697178292158,0.04405172009912461,1.0
-2,-3,-2,-2,-1;0.734479919651872,0.09886187740149481,1.0
-2,-3,-2,-1,-1;0.9004842015559954,-0.3883545693413538,1.0
-2,-3,-2,-1,0;1.3066477576552649,-0.2574261697696082,1.0
-2,-3,-2,0,-1;1.2933310060173333,-0.8108919602274852,1.0
-2,-3,-2,0,0;1.3848336203948701,-0.7716762807966602,1.0
-2,-3,-1,-1,-1;0.5303123440662072,-0.7499369503175771,1.0
-2,-2,-2,-2,-2;-0.16940721505267303,0.002518932187358089,1.0
-2,-2,-2,-2,-1;0.31139802673071104,-0.08704972570442115,1.0
-2,-2,-2,-1,-1;0.4056543955526439,-0.3306912807815514,1.0
-2,-2,-1,-2,-2;-0.26043495062171884,-0.4746430053283384,1.0
-2,-2,-1,-2,-1;0.14343536616803898,-0.37170833870590486,1.0
-2,-2,-1,-1,-2;-0.016113775825098136,-0.68356995647745,1.0
-2,-2,-1,-1,-1;0.27752494455591165,-0.6013576916045429,1.0
-2,-1,-2,-2,-2;-0.4542127415433174,0.12274104593238794,1.0
-2,-1,-1,-3,-3;-1.3339710768322512,-0.07775089385456377,1.0
-2,-1,-1,-3,-2;-0.9750711495881067,0.11041871393925178,1.0
-2,-1,-1,-2,-3;-1.0641681096214104,-0.5106076774652758,1.0
-2,-1,-1,-2,-2;-0.7146419455657121,-0.21675345339751348,1.0
-2,-1,0,-3,-3;-1.579197490602116,-0.3793239586983231,1.0
-2,-1,0,-2,-3;-1.4522793543088364,-0.6147668076811197,1.0
-2,0,-1,-3,-3;-1.8086546915834134,0.002518932187358172,1.0
-2,0,0,-3,-3;-1.7922951905614721,-0.3399562887761627,1.0
-2,0,0,-2,-3;-1.762228554636827,-0.6761847779841336,1.0
