-10,-4,8,9,-2;-1.0815193481917829,10.259310981405475,1.0
-10,-4,8,9,-1;-1.1729331580052482,10.155982702265108,1.0
-10,-3,8,9,-2;-0.8744517954418948,10.226406542905487,1.0
-10,-3,8,9,-1;-1.086893649140056,10.118132433260064,1.0
-10,-3,9,9,-3;-0.023973304870773288,10.769970466721368,1.0
-10,-3,9,9,-2;-0.31125975866298616,10.34008910212407,1.0
-10,-2,9,8,-4;1.008046790962068,10.293334459165282,1.0
-10,-2,9,8,-3;0.8260213193333346,10.23902314230811,1.0
-10,-2,9,9,-3;0.2694622213895282,10.347886589377332,1.0
-10,-2,9,9,-2;-0.035431424901788695,10.118132433260064,1.0
-10,-1,9,8,-4;1.121819601776564,10.165729561331686,1.0
-10,-1,9,8,-3;1.0160307993364786,10.118132433260064,1.0
-9,-5,6,9,0;-2.5676916123337445,9.137547053471927,1.0
-9,-5,7,9,0;-2.4824033138060524,9.234730116347901,1.0
-9,-4,6,9,0;-2.443870188354195,9.10925849285916,1.0
-9,-4,7,9,-1;-1.6377609502651396,9.440337546883613,1.0
-9,-4,7,9,0;-2.199430187273306,9.259685940209012,1.0
-9,-4,8,9,-1;-1.3729453238639102,9.887547053471929,1.0
-9,-3,7,8,-2;-0.7119141602452363,9.103774096077261,1.0
-9,-3,7,8,-1;-0.8433991870760049,9.133433755885504,1.0
-9,-3,7,9,-1;-1.1602826217759008,9.233038556284454,1.0
-9,-3,8,8,-2;-0.5571061800604702,9.256395302139872,1.0
-9,-3,8,8,-1;-0.7963189766751038,9.212705322013676,1.0
-9,-3,8,9,-2;-0.49812857056922566,9.812472344709054,1.0
-9,-3,8,9,-1;-1.0222242428300887,9.640337546883613,1.0
-9,-3,9,9,-2;-0.17546803274875522,10.030569167025895,1.0
-9,-2,8,7,-3;0.6563288038163457,9.082746430406223,1.0
-9,-2,8,8,-3;0.4938440018260223,9.264192789393135,1.0
-9,-2,8,8,-2;-0.03289786771207896,9.494184742845826,1.0
-9,-2,8,9,-2;-0.10569459278964333,9.822707457181304,1.0
-9,-2,9,8,-3;0.44149933116988044,9.825088944111675,1.0
-9,-2,9,8,-2;0.05433183167693606,9.830739310763573,1.0
-9,-2,9,9,-3;0.13093757437836903,10.017573354937126,1.0
-9,-2,9,9,-2;-0.026264928876976484,9.963944344633592,1.0
-9,-1,8,7,-3;0.8005768043911979,9.117663006632226,1.0
-9,-1,8,8,-3;0.7449562155623962,9.204673468431409,1.0
-9,-1,9,7,-4;1.585231092511186,9.440337546883613,1.0
-9,-1,9,7,-3;1.1257514126349717,9.223291697217876,1.0
-9,-1,9,8,-4;1.3384141147229816,9.87780019440535,1.0
-9,-1,9,8,-3;0.9696943850761354,9.640337546883611,1.0
-9,0,9,6,-5;2.5331604031928148,9.12780019440535,1.0
-9,0,9,6,-4;2.3993397299838084,9.096262680770389,1.0
-9,0,9,7,-5;2.4310405526933447,9.242761969930168,1.0
-9,0,9,7,-4;2.14280094787396,9.272302539611633,1.0
-8,-6,5,9,2;-3.9316109310875667,8.161435756239486,1.0
-8,-5,5,9,1;-3.2492569716533017,8.269517153633677,1.0
-8,-5,5,9,2;-3.7233697702263022,8.224934702937254,1.0
-8,-5,6,9,0;-2.680747856506206,8.942457210702687,1.0
-8,-5,6,9,1;-2.920021210044687,8.592919483596525,1.0
-8,-4,5,9,1;-2.7687898845871017,8.10925849285916,1.0
-8,-4,6,8,0;-1.8795006520981574,8.32853005909698,1.0
-8,-4,6,9,0;-2.3590713705036186,8.584315770728644,1.0
-8,-4,6,9,1;-2.663230679519163,8.224746555706634,1.0
-8,-4,7,8,-1;-1.6072504603109163,8.641276992655582,1.0
-8,-4,7,8,0;-1.644044997516627,8.592919483596525,1.0
-8,-4,7,9,-1;-1.6085940355479849,8.87944320012473,1.0
-8,-4,7,9,0;-1.870702200482055,8.855257708467983,1.0
-8,-3,6,8,-1;-1.345951837775339,8.231096099827296,1.0
-8,-3,6,8,0;-1.6112882698568933,8.30946930563206,1.0
-8,-3,7,7,-1;-0.7200531166548281,8.082746430406223,1.0
-8,-3,7,8,-2;-0.5986577988124028,8.915729561331686,1.0
-8,-3,7,8,-1;-1.0601256103211922,8.531674421376223,1.0
-8,-3,7,8,0;-1.6108427727227947,8.547978466665354,1.0
-8,-3,7,9,-1;-1.3540907941849305,8.955424426656188,1.0
-8,-3,8,8,-2;-0.5003877289816615,9.030569167025897,1.0
-8,-2,7,7,-2;-0.02626492887697681,8.269517153633675,1.0
-8,-2,7,7,-1;-0.5763075951946046,8.12944320012473,1.0
-8,-2,7,8,-2;-0.3680687849885671,8.592919483596525,1.0
-8,-2,7,8,-1;-0.5813559479191652,8.307943659322248,1.0
-8,-2,8,7,-3;0.5475442425837184,8.905982702265108,1.0
-8,-2,8,7,-2;0.3201221752470197,8.592919483596525,1.0
-8,-2,8,8,-3;0.45585727061127473,9.017573354937126,1.0
-8,-2,8,8,-2;-0.02626492887697677,8.916730749133633,1.0
-8,-1,7,7,-3;0.6644677602259371,8.103774096077261,1.0
-8,-1,7,7,-2;0.5034874648214238,8.154960808444585,1.0
-8,-1,8,6,-3;1.2903664813464482,8.210068434156257,1.0
-8,-1,8,7,-4;1.5337779030812015,8.675300470415388,1.0
-8,-1,8,7,-3;1.0045402538923012,8.53868364326657,1.0
-8,-1,8,7,-2;0.5078833906894502,8.341967137082056,1.0
-8,-1,9,7,-4;1.535773905174804,8.904960808444585,1.0
-8,-1,9,7,-3;1.2985054377560392,8.976452092327227,1.0
-8,0,8,6,-4;1.844969442957228,8.318783200030403,1.0
-8,0,8,6,-3;1.5384681394837125,8.283951697312203,1.0
